sentence,cluster,title,cluster_label
"Today 

At least 265 people died in Ahmedabad after a London-bound Air India plane crashed into a government-run medical hostel moments after taking off from the city airport on Wednesday.",60,Ahmedabad Plane Crash: What Air India Pilot's Final Words Could Mean | India Today,"india, air, air india, ahmedabad, crash"
"The crash of Air India Flight 171 in Ahmedabad has resulted in the loss of 265 lives, including 10 crew members and two pilots.",60,Air India Salutes its Fallen Comrades | Ahmedabad Airplane Crash News | India Today,"india, air, air india, ahmedabad, crash"
Air India confirms 241 on board plane killed with one survivor in Ahmedabad crash | BBC News.,60,Air India confirms 241 on board plane killed with one survivor in Ahmedabad crash | BBC News,"india, air, air india, ahmedabad, crash"
"Air India has confirmed that 241 passengers and crew have died after a London-bound plane crashed shortly after take-off in Ahmedabad, western India.",60,Air India confirms 241 on board plane killed with one survivor in Ahmedabad crash | BBC News,"india, air, air india, ahmedabad, crash"
More than 200 dead in Air India crash near Ahmedabad.,60,More than 200 dead in Air India crash near Ahmedabad,"india, air, air india, ahmedabad, crash"
241 people lost their lives when Air India flight AI-171 crashed shortly after takeoff from Ahmedabad to London.,60,LIVE : Ahmedabad Plane Crash | Air India Ordered Safety Checks After AI-171 Disaster | News9,"india, air, air india, ahmedabad, crash"
"More than 200 people have died after an Air India plane crashed in the western Indian city of Ahmedabad, a police officer has told Reuters.",60,Air India flight to London Gatwick crashes in Ahmedabad,"india, air, air india, ahmedabad, crash"
"Air India Flight 171 Crashed, Leaving 241 Passengers And Crew Feared",60,"Air India Flight 171 Crashed, Leaving 241 Passengers And Crew Feared Dead | India Today News","india, air, air india, ahmedabad, crash"
"Air India Flight 171 crashed, leaving 242 passengers and crew feared dead.",60,"Air India Flight 171 Crashed, Leaving 241 Passengers And Crew Feared Dead | India Today News","india, air, air india, ahmedabad, crash"
"LIVE: Black Box Recovered, Air India Plane Crash Investigation Begins | Ahmedabad Plane Crash News

At least 265 people died in Ahmedabad after a London-bound Air India plane crashed into a government-run medical hostel moments after taking off from the city airport on Wednesday.",59,"LIVE: Black Box Recovered, Air India Plane Crash Investigation Begins | Ahmedabad Plane Crash News","crash, india, ahmedabad, plane, air"
"#airindia #crash #ahmedabad 

A high-level government committee will hold its first meeting Monday to examine the Air India flight 171 crash that has claimed at least 271 lives, even as the first funerals of passengers killed aboard the Boeing 787 took place on Sunday while most grieving families continue an agonising wait for their loved ones? remains.",59,"Air India Crash I BA 787 Chennai Flight Turns Back, Saudia Airline Smoke Scare I Boeing I Barkha","crash, india, ahmedabad, plane, air"
"Ahmedabad Plane Crash News Live Updates: Air India CEO Campbell Wilson Briefing | Air India Crash

Air India Flight 171, a Boeing 787 Dreamliner, crashed in Ahmedabad on Thursday, killing 241 passengers and crew.",59,Ahmedabad Plane Crash News Live Updates: Air India CEO Campbell Wilson Briefing | Air India Crash,"crash, india, ahmedabad, plane, air"
"Ahmedabad Plane Crash LIVE: Aviation Expert Captain Steve Discusses Theories Behind Air India Crash

Air India Flight 171, a Boeing 787 Dreamliner, crashed in Ahmedabad on Thursday, killing 241 passengers and crew.",59,Ahmedabad Plane Crash LIVE: Aviation Expert Captain Steve Discusses Theories Behind Air India Crash,"crash, india, ahmedabad, plane, air"
"Aviation Ministry Press Briefing On  Ahmedabad Plane Crash  LIVE | Air India Plane Crash Updates 

The Ministry of Civil Aviation on Saturday announced that a high-level multi-disciplinary committee will be formed to examine the causes behind the tragic crash of Air India Flight AI-171, which was en route from Ahmedabad to London?s Gatwick Airport on June 12, which claimed at least 265 lives and injured many others.",59,Aviation Ministry Press Briefing On  Ahmedabad Plane Crash  LIVE | Air India Plane Crash Updates,"crash, india, ahmedabad, plane, air"
"Air India Plane Crash LIVE: 265 Dead, Boeing Dreamliner's Black Box Recovered | Palki Sharma | N18G. firstpost; ahmedabad plane crash; ahmedabad airport; plane crash; ahmedabad plane; gujarat plane crash; ahmedabad London flight; plane crash Gujarat; plane crash rescue; indian plane crash; gujarat crash; passenger plane crash; Gujarat plane crash; meghani nagar Gujarat; residential area plane crash; meghani nagar plane crash; ahmedabad mein plane crash; plane crash in ahmedabad; passenger plane crash Ahmedabad; Ahmedabad aviation incident; airport accident Ahmedabad; boeing.",59,"Air India Plane Crash LIVE: 265 Dead, Boeing Dreamliner's Black Box Recovered | Palki Sharma | N18G","crash, india, ahmedabad, plane, air"
News; Ahmedabad; India; Crash; Death; 787; flight\. An Air India plane destined for the U.K. crashed at Ahmedabad airport in India with hundreds of passengers on board.,59,Air India Crash: Boeing 787 Flight Crashes In Ahmedabad,"crash, india, ahmedabad, plane, air"
"Air India AI-171 Crash Explained | 3D Animation of Real Incident in Ahmedabad


On June 12, 2025, Air India Flight AI-171 tragically crashed shortly after takeoff from Ahmedabad airport, striking a medical college hostel and resulting in massive loss of life.",59,?? Air India AI-171 Crash Explained | 3D Animation of Real Incident in Ahmedabad,"crash, india, ahmedabad, plane, air"
"Ahmedabad: PM Modi Visits Air India Boeing-787 Plane Crash Site, Meets Survivor | Spotlight | N18G. firstpost; air india; plane crash; plane accident; air india crash; modi vists ahmedabad; india plane crash; air india news; flight crash india; air india plane crash; ahmedabad plane crash; plane crash in ahmedabad; ahmedabad plane crash news; passenger plane crash in ahmedabad; plane crash in ahmedabad airport; plane crash in ahmedabad live updates; ahmedabad gujarat plane crash; air india crash video; plane crash ahmedabad; pm modi; modi in ahmedabad; PM modi news.",59,"Ahmedabad: PM Modi Visits Air India Boeing-787 Plane Crash Site, Meets Survivor | Spotlight | N18G","crash, india, ahmedabad, plane, air"
"Ahmedabad Air India Tragedy: Boeing 787 Plane With 242 Onboard Crashes Into Hostel | Spotlight |N18g

Ahmedabad Air India Boeing-787 Crash: India is grappling with the aftermath of the tragic passenger plane crash in Ahmedabad that claimed 268 lives, leaving just one British national as the lone survivor.",59,"Ahmedabad: PM Modi Visits Air India Boeing-787 Plane Crash Site, Meets Survivor | Spotlight | N18G","crash, india, ahmedabad, plane, air"
Air India Salutes its Fallen Comrades | Ahmedabad Airplane Crash News | India Today.,58,Air India Salutes its Fallen Comrades | Ahmedabad Airplane Crash News | India Today,"crash, ahmedabad, india, plane, plane crash"
Ahmedabad Plane Crash News LIVE | Air India Airplane Crash,58,Ahmedabad Plane Crash News LIVE | Air India Airplane Crash In Ahmedabad | Ahmedabad Airplane Crash,"crash, ahmedabad, india, plane, plane crash"
In Ahmedabad | Ahmedabad Airplane Crash.,58,Ahmedabad Plane Crash News LIVE | Air India Airplane Crash In Ahmedabad | Ahmedabad Airplane Crash,"crash, ahmedabad, india, plane, plane crash"
Ahmedabad Plane Crash News LIVE | Air India Airplane Crash,58,Ahmedabad Plane Crash News LIVE | Air India Airplane Crash In Ahmedabad | Ahmedabad Airplane Crash,"crash, ahmedabad, india, plane, plane crash"
"In Ahmedabad | Ahmedabad Airplane Crash 

A plane crash has been reported near Ahmedabad International Airport in the Megha Nagar area.",58,Ahmedabad Plane Crash News LIVE | Air India Airplane Crash In Ahmedabad | Ahmedabad Airplane Crash,"crash, ahmedabad, india, plane, plane crash"
"LIVE | Ahmedabad Plane Crash Video Shows Moments of Destruction | Air India Plane Crash | N18L 

#ahmedabadcrash #airindiacrash #airindiaflightcrash #news18 #news18live 

n18oc_live
n18oc_india 

News18 Mobile App - https://onelink.to/desc-youtube",58,LIVE | Ahmedabad Plane Crash Video Shows Moments of Destruction | Air India Plane Crash | N18L,"crash, ahmedabad, india, plane, plane crash"
LIVE : Ahmedabad Plane Crash | Air India Ordered Safety Checks After AI-171 Disaster | News9.,58,LIVE : Ahmedabad Plane Crash | Air India Ordered Safety Checks After AI-171 Disaster | News9,"crash, ahmedabad, india, plane, plane crash"
Ahmedabad Plane Crash Live | Aviation Minister Ram Mohan Naidu to address a press conference in Ahmedabad post the tragic Air India Boeing 787 plane crash in Meghaninagar.,58,?Pilots Last Words Were??: Govt On Air India Flight Crash In Ahmedabad,"crash, ahmedabad, india, plane, plane crash"
Ahmedabad Plane Crash News Live Updates: Air India CEO Campbell Wilson Briefing | Air India Crash.,58,Ahmedabad Plane Crash News Live Updates: Air India CEO Campbell Wilson Briefing | Air India Crash,"crash, ahmedabad, india, plane, plane crash"
787; ABC News; Ahmedabad; Air India; Boeing; GMA; airport; crash; p_cmsid=2494279; p_vid=news-122779701; plane; survivor.,58,"British national survives Air India plane crash, condition unknown","crash, ahmedabad, india, plane, plane crash"
"The Tata Group announced compensation of one crore rupees for each victim's family.
#boeing787dreamliner #ahmedabadcrash #planecrash #dreamliner #airindiacrash #airindia #emergencyresponse #aviationdisaster #aviationsafety #boeingcrash #miraclesurvivor #indiatoday #airsafety #ahmedabadplanecrash #ahmedabadaccident
Subscribe to India Today for NEW VIDEOS EVERY DAY and make sure to enable Push Notifications so you'll never miss a new video.",58,"Air India Boeing 787-8 Dreamliner Crashes In Ahmedabad: Over 200 Dead, One Miracle Survivor Emerges","crash, ahmedabad, india, plane, plane crash"
Ahmedabad Plane Crash.,58,Ahmedabad Plane Crash | Video Shows Moment Air India Ahmedabad-London Plane Crashed After Take Off,"crash, ahmedabad, india, plane, plane crash"
Aviation Ministry Press Briefing On  Ahmedabad Plane Crash  LIVE | Air India Plane Crash Updates.,58,Aviation Ministry Press Briefing On  Ahmedabad Plane Crash  LIVE | Air India Plane Crash Updates,"crash, ahmedabad, india, plane, plane crash"
Ahmedabad Plane Crash | Air India Plane crash in Ahmedabad | News9 | LIVE.,58,Ahmedabad Plane Crash | Air India Plane crash in Ahmedabad | News9 | LIVE,"crash, ahmedabad, india, plane, plane crash"
"Ahmedabad Plane Crash | Air India Plane crash in Ahmedabad | News9

Plane Crash 
Ahmedabad 
Air India 
 london bound flight
..............................................................................................",58,Ahmedabad Plane Crash | Air India Plane crash in Ahmedabad | News9 | LIVE,"crash, ahmedabad, india, plane, plane crash"
Watch: Moment Air India Plane Crashed in Ahmedabad | Subscribe to Firstpost | N18G. firstpost; pm modi; pm modi news; india; air india; plane crash; ahmedabad; ahmedabad airport; aviation news; emergency landing; airport incident; air india update; flight accident; breaking news; aviation accident; flight crash; crash landing; air crash; aviation incident; indian aviation; flight news; airline update; airport news; passenger safety; air india flight; aviation alert; crash news; india crash; ahmedabad news; airline crash; plane accident.,58,Watch: Moment Air India Plane Crashed in Ahmedabad | Subscribe to Firstpost | N18G,"crash, ahmedabad, india, plane, plane crash"
Ahmedabad Plane Crash LIVE Updates | Air India Flight Going To London Crashes | Plane Crash,58,Ahmedabad Plane Crash LIVE Updates | Air India Flight Going To London Crashes | Plane Crash | N18L,"crash, ahmedabad, india, plane, plane crash"
Video shows Air India plane crashing in Ahmedabad.,57,Video shows Air India plane crashing in Ahmedabad,"crash, ahmedabad, india, air, air india"
Shocking Video: 2nd Video Of Ahmedabad Air India Flight Crash Seconds,57,Shocking Video: 2nd Video Of Ahmedabad Air India Flight Crash Seconds After Takeoff | India Today,"crash, ahmedabad, india, air, air india"
New footage reveals the harrowing moments of Air India Flight 171's crash in Ahmedabad.,57,Shocking Video: 2nd Video Of Ahmedabad Air India Flight Crash Seconds After Takeoff | India Today,"crash, ahmedabad, india, air, air india"
Footage recorded near the site of the Air India plane crash showed people helping a man walking toward an ambulance.,57,"At least one survivor from Air India plane crash, Ahmedabad police say","crash, ahmedabad, india, air, air india"
Teen Who Recorded Viral Air India Crash Video,57,Air India Plane Crash: Teen Who Recorded Viral Air India Crash Video ?Very Scared? | Ahmedabad Plane,"crash, ahmedabad, india, air, air india"
Teen Who Recorded Viral Air India Crash Video,57,Air India Plane Crash: Teen Who Recorded Viral Air India Crash Video ?Very Scared? | Ahmedabad Plane,"crash, ahmedabad, india, air, air india"
"?Very Scared? | Ahmedabad Plane

A 17-year-old boy in Ahmedabad, who unwittingly captured a viral video of Thursday's devastating Air India AI 171 plane crash, has given his statement to the police, officials said on Saturday.",57,Air India Plane Crash: Teen Who Recorded Viral Air India Crash Video ?Very Scared? | Ahmedabad Plane,"crash, ahmedabad, india, air, air india"
"Ahmedabad Plane Crash | CCTV Video Shows Air India Flight Trying To Take Off, Crashing Into Building.",57,"Ahmedabad Plane Crash | CCTV Video Shows Air India Flight Trying To Take Off, Crashing Into Building","crash, ahmedabad, india, air, air india"
Air India Dreamliner crash: The Ahmedabad airport CCTV footage showed a very short flight of 32 seconds from the time the landing gears left the runway to the time of impact.,57,"Ahmedabad Plane Crash | CCTV Video Shows Air India Flight Trying To Take Off, Crashing Into Building","crash, ahmedabad, india, air, air india"
Air India Ahmedabad Crash Veteran NTSB Investigator Greg Feith On What Videos Reveal.,57,Air India Ahmedabad Crash Veteran NTSB Investigator Greg Feith On What Videos Reveal,"crash, ahmedabad, india, air, air india"
Ahmedabad Plane Crash | Video Shows Moment Air India Ahmedabad-London Plane Crashed,57,Ahmedabad Plane Crash | Video Shows Moment Air India Ahmedabad-London Plane Crashed After Take Off,"crash, ahmedabad, india, air, air india"
Video Shows Moment Air India Ahmedabad-London Plane Crashed After Takeoff.,57,Ahmedabad Plane Crash | Video Shows Moment Air India Ahmedabad-London Plane Crashed After Take Off,"crash, ahmedabad, india, air, air india"
Ahmedabad Plane Crash Shocking VIDEO:,57,Ahmedabad Plane Crash Shocking VIDEO: Moment Air India Flight With 242 People Crashes Near Ahmedabad,"crash, ahmedabad, india, air, air india"
Ahmedabad Plane Crash Shocking VIDEO:,57,Ahmedabad Plane Crash Shocking VIDEO: Moment Air India Flight With 242 People Crashes Near Ahmedabad,"crash, ahmedabad, india, air, air india"
Ahmedabad Plane Crash; category= news; TV Clip.,57,Air India Plane Crash: What Is A Black Box In An Aircraft?,"crash, ahmedabad, india, air, air india"
Air India Plane Crash  AI171 Crash Video ????? ????,57,Air India Plane Crash  AI171 Crash Video ????? ???? Aryan Asari ?? ???? ?????? | Ahmedabad,"crash, ahmedabad, india, air, air india"
The video Aryan made of the crash of Air India's Boeing 787 Dreamliner went viral.,57,Air India Plane Crash  AI171 Crash Video ????? ???? Aryan Asari ?? ???? ?????? | Ahmedabad,"crash, ahmedabad, india, air, air india"
CCTV footage shows moment Air India plane crashes in Ahmedabad.,57,CCTV footage shows moment Air India plane crashes in Ahmedabad,"crash, ahmedabad, india, air, air india"
"CCTV footage captured the moment an Air India passenger plane crashed shortly after takeoff in Ahmedabad, India, on Thursday.",57,CCTV footage shows moment Air India plane crashes in Ahmedabad,"crash, ahmedabad, india, air, air india"
Footage shows aftermath at Air India flight 171 crash site.,57,Footage shows aftermath at Air India flight 171 crash site,"crash, ahmedabad, india, air, air india"
Video captures moment Air India flight crashes | DW News.,57,Video captures moment Air India flight crashes | DW News,"crash, ahmedabad, india, air, air india"
"In a miraculous turn amid tragedy, one passenger?Vishwash Kumar, seated on 11A?survived the devastating Air India Boeing 787 crash in Ahmedabad on June 12, 2025.",56,"Miracle! Air India Passenger Emerges After Ahmedabad Plane Crash, Reveals Survival Story | Watch","crash, air, air india, india, ahmedabad"
Former Gujarat Chief Minister Vijay Rupani was confirmed among the deceased.,56,"Air India Boeing 787-8 Dreamliner Crashes In Ahmedabad: Over 200 Dead, One Miracle Survivor Emerges","crash, air, air india, india, ahmedabad"
"Ahmedabad Plane Crash Survivor News Live | Air India Confirms 241 Passengers Killed, Only 1 Survivor.",56,"Ahmedabad Plane Crash Survivor News Live | Air India Confirms 241 Passengers Killed, Only 1 Survivor","crash, air, air india, india, ahmedabad"
"Ahmedabad Plane Crash Survivor News Live | Air India Confirms 241 Passengers Killed, Only 1 Survivor

Ramesh Vishwaskumar Bucharvada, who was among the 242 people onboard the ill-fated Air India flight AI171 that crashed today, miraculously survived the accident.",56,"Ahmedabad Plane Crash Survivor News Live | Air India Confirms 241 Passengers Killed, Only 1 Survivor","crash, air, air india, india, ahmedabad"
Ahmedabad Plane Crash: One Survivor Found In Air India Flight | Public TV.,56,Ahmedabad Plane Crash: One Survivor Found In Air India Flight | Public TV,"crash, air, air india, india, ahmedabad"
"Ahmedabad Plane Crash: One Survivor Found In Air India Flight | Public TV

#publictv #ahmedabad #airindia 

Watch Live Streaming On http://www.publictv.in/live

Download Public TV app here:",56,Ahmedabad Plane Crash: One Survivor Found In Air India Flight | Public TV,"crash, air, air india, india, ahmedabad"
Ahmedabad Plane Crash | One Survivor Found | Air India Plane Crash | News9.,56,Ahmedabad Plane Crash | One Survivor Found | Air India Plane Crash | News9,"crash, air, air india, india, ahmedabad"
LIVE | Ahmedabad Plane Crash Video Shows Moments of Destruction | Air India Plane Crash | N18L. air india flight; air india plane crash; ahmedabad plane crash; ahmedabad live news; ahmedabad plane crash today; ahmedabad airport; ahmedabad flight; air india crash; air india flight news today; air india flight crash; air india crash ahmedabad; air india flight crash today; air india plane crash today; air india plane crash ahmedabad; air india accident; air india news; air india flight crash ahmedabad; air india ahmedabad to london; pm modi; amit shah.,55,LIVE | Ahmedabad Plane Crash Video Shows Moments of Destruction | Air India Plane Crash | N18L,"ahmedabad, india, crash, plane, air"
After Takeoff From Ahmedabad Airport | N18V. news18; cnn news18; ahmedabad plane crash; air india crash; ahmedabad air india crash reason; air india ai171 crash cause; air india crash investigation; boeing 787 crash india; engine failure air india; bird strike air india crash; dgca crash report 2025; mayday call air india flight; plane crash analysis india; ai171 black box findings; gujarat plane crash update; air india aviation accident; air india flight crash reasons; ats probe air india crash; flight recorder air india.,55,Pilot Sumit Sabharwal Issued A Mayday Minutes After Takeoff From Ahmedabad Airport | N18V,"ahmedabad, india, crash, plane, air"
Ahmedabad Plane Crash: First Visuals From Air India Flight Crash Site; Rescue Ops Underway | N18V. ahmedabad plane crash; ahmedabad plane crash 2025; ahmedabad plane crash news; ahmedabad mein plane crash; air india plane crash; ahmedabad gujarat plane crash; plane crash in ahmedabad airport; gujarat plane crash; gujarat news; ahmedabad news; breaking news ahmedabad; plane crash in ahmedabad; gujarat aviation accident; ahmedabad crash news; gujarat plane crash 2025; ahmedabad airport incident; flight accident ahmedabad; plane crash breaking news; flight mishap ahmedabad.,55,Ahmedabad Plane Crash: First Visuals From Air India Flight Crash Site; Rescue Ops Underway | N18V,"ahmedabad, india, crash, plane, air"
Ahmedabad Plane Crash LIVE | London-Bound Air India Flight Crashes Near Ahmedabad Airport | N18L. ahmedabad plane crash; london-bound air india flight crash; air india flight crashes in ahmedabad; air india plane crash in ahmedabad; plane crashes near ahmedabad airport; ahmedabad meghani plane accident; air india plane crashes in ahmedabad; air india flight crashes near ahmedabad; ahmedabad plane crash casualties; ahmedabad plane crash rescue operations; air india flight crashes during take-off; air india boeing jet crashes in ahmedabad; aircraft crashes in meghaninagar.,55,Ahmedabad Plane Crash LIVE | London-Bound Air India Flight Crashes Near Ahmedabad Airport | N18L,"ahmedabad, india, crash, plane, air"
"ahmedabad plane crash,air india plane crash,plane crash in ahmedabad,air india flight crash ahmedabad,ahmedabad aviation incident,ahmedabad plane crash air india,242 passengers in ahmedabad plane crash,air india crash,plane crash,plane crash in ahmedabad airport,air india plane crash in ahmedabad,ahmedabad mein plane crash,passenger plane crash ahmedabad,gujarat plane crash,air india,air india plane crashes in ahmedabad,casualties ahmedabad plane crash. ??",55,?? Air India AI-171 Crash Explained | 3D Animation of Real Incident in Ahmedabad,"ahmedabad, india, crash, plane, air"
"Ahmedabad, India  
??",55,?? Air India AI-171 Crash Explained | 3D Animation of Real Incident in Ahmedabad,"ahmedabad, india, crash, plane, air"
In a statement the airline said that the "sole survivor" - a British citizen - is being treated in hospital.,54,Air India confirms 241 on board plane killed with one survivor in Ahmedabad crash | BBC News,"survivor, crash, air, air india, india"
This rare incident has been described as 'one in a million'.,54,Shocking Video: 2nd Video Of Ahmedabad Air India Flight Crash Seconds After Takeoff | India Today,"survivor, crash, air, air india, india"
Lone survivor of Air India 171 Crash Recounts Miraculous Escape | Ahmedabad Plane Crash.,54,Lone survivor of Air India 171 Crash Recounts Miraculous Escape | Ahmedabad Plane Crash,"survivor, crash, air, air india, india"
"Only one passenger, Vishwash Kumar Ramesh, survived the catastrophe.",54,Lone survivor of Air India 171 Crash Recounts Miraculous Escape | Ahmedabad Plane Crash,"survivor, crash, air, air india, india"
"At least one survivor from Air India plane crash, Ahmedabad police say.",54,"At least one survivor from Air India plane crash, Ahmedabad police say","survivor, crash, air, air india, india"
"http://bit.ly/guardianwiressub

The survivor is believed to be Vishwash Kumar Ramesh, a British-Indian man from London.",54,"At least one survivor from Air India plane crash, Ahmedabad police say","survivor, crash, air, air india, india"
"'When I got up, there were bodies all around me.",54,"At least one survivor from Air India plane crash, Ahmedabad police say","survivor, crash, air, air india, india"
"I stood up and ran,' Ramesh told the Hindustan Times

Briton is ?sole survivor? of Air India plane crash that killed more than 290, police say ?",54,"At least one survivor from Air India plane crash, Ahmedabad police say","survivor, crash, air, air india, india"
"Air India Passenger Emerges After Ahmedabad Plane Crash, Reveals Survival Story | Watch.",54,"Miracle! Air India Passenger Emerges After Ahmedabad Plane Crash, Reveals Survival Story | Watch","survivor, crash, air, air india, india"
"Vishwash recounted the horror of waking up surrounded by bodies and debris, managing to escape the wreckage and reach safety.",54,"Miracle! Air India Passenger Emerges After Ahmedabad Plane Crash, Reveals Survival Story | Watch","survivor, crash, air, air india, india"
His survival story has brought a glimmer of hope as rescue teams continue their search for more survivors.,54,"Miracle! Air India Passenger Emerges After Ahmedabad Plane Crash, Reveals Survival Story | Watch","survivor, crash, air, air india, india"
"Miracle Survivor, Ramesh,  Found In Air India Plane Crash, Jumped From Seat 11A | Ahmedabad Crash.",54,"Miracle Survivor, Ramesh,  Found In Air India Plane Crash, Jumped From Seat 11A | Ahmedabad Crash","survivor, crash, air, air india, india"
"The Ahmedabad Police Commissioner reports one survivor from seat 11A, who jumped from the flight and is under treatment.",54,"Miracle Survivor, Ramesh,  Found In Air India Plane Crash, Jumped From Seat 11A | Ahmedabad Crash","survivor, crash, air, air india, india"
"British national survives Air India plane crash, condition unknown.",54,"British national survives Air India plane crash, condition unknown","survivor, crash, air, air india, india"
"The Civil Hospital in Ahmedabad confirmed to ABC News that Ramesh Vishwaskumar, one passenger on the downed Air India flight, is alive and hospitalized there.",54,"British national survives Air India plane crash, condition unknown","survivor, crash, air, air india, india"
